SIC group,Section letter,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,A,"Products of agriculture, hunting and related services","54,988.9","54,795.4","54,466.2","53,619.5","54,353.8","54,221.5","55,572.0","55,013.6","54,517.9","54,623.2","52,641.1","50,317.0","50,112.0","50,599.3","51,316.6","51,359.5","50,348.9","49,985.7","49,688.6","48,927.2","48,892.5","48,219.2","48,849.5","47,799.2","49,594.6","50,206.6","49,600.6","50,330.4","49,644.8","49,244.1","47,702.7","49,204.5"
2,A,"Products of forestry, logging and related services",40.8,41.5,42.8,48.4,56.3,47.3,45.1,51.0,49.0,51.0,50.6,48.2,48.3,47.8,46.3,56.8,54.1,67.2,53.1,50.2,47.3,46.7,56.7,55.1,67.7,80.2,89.2,93.3,93.3,91.8,85.7,99.4
3,A,Fish and other fishing products; aquaculture products; support services to fishing,948.7,971.7,"1,001.5","1,057.4","1,077.2","1,122.9","1,089.1","1,067.7","1,107.8","1,006.2",905.9,893.4,837.5,790.3,808.6,801.9,747.5,756.7,731.2,706.8,745.2,728.3,765.6,759.1,909.5,859.5,844.6,862.7,819.6,724.3,711.7,736.1
5,B,Mining of coal and lignite,"25,529.4","26,151.3","25,911.6","23,988.2","16,098.4","17,462.6","16,154.3","15,514.8","13,190.7","10,976.3","9,519.3","8,556.9","8,399.6","7,023.6","6,353.6","4,769.0","4,352.5","3,616.1","3,617.5","3,460.1","3,261.0","3,100.5","3,061.8","2,170.1","2,158.9","1,816.2",848.2,818.6,788.8,759.7,748.6,712.6
6,B,Crude petroleum and natural gas,"22,985.1","22,536.1","23,478.9","25,206.4","26,874.6","27,369.8","28,799.9","28,620.2","29,554.2","28,495.8","27,422.0","28,342.1","27,355.3","26,059.0","25,593.2","24,881.0","23,025.9","23,075.6","21,985.9","21,997.6","21,722.6","19,876.9","18,297.4","17,925.7","17,532.1","19,275.6","18,854.1","18,865.9","18,856.1","18,903.0","17,269.5","15,173.5"
7,B,Mining of metal ores,14.1,13.4,13.7,13.9,14.4,14.4,9.6,9.4,9.0,8.2,8.4,8.4,8.5,8.2,8.5,7.8,7.8,7.5,6.1,5.0,4.8,4.3,4.2,3.5,3.5,3.5,3.5,3.4,3.3,3.0,3.5,2.8
8,B,Other mining and quarrying products,"1,431.7","1,414.0","1,379.2","1,236.2","1,177.2","1,085.5","1,082.8","1,044.9","1,030.0",950.0,"1,410.6","1,373.4",967.0,"1,004.7",919.8,"1,018.6",864.4,960.3,"1,344.6","1,385.7","1,483.7",968.2,709.6,642.8,856.9,932.8,"1,077.2","1,236.0","1,031.9",942.8,"1,088.3","1,222.4"
9,B,Mining support services,801.7,762.3,697.1,647.3,711.5,807.5,856.3,846.2,861.1,297.1,193.2,156.1,208.2,196.8,189.6,174.1,119.0,120.6,101.2,239.6,127.3,116.9,208.1,211.6,335.8,172.9,317.4,107.2,110.8,127.9,25.8,70.2
10.1,C,Processing and preserving of meat and production of meat products,"1,067.6","1,170.3","1,201.8","1,213.7","1,293.1","1,426.8","1,369.4","1,351.7","1,354.8","1,150.8","1,419.7","1,326.8","1,242.5","1,476.7","1,249.3","1,283.6","1,178.7","1,163.4","1,020.2",960.2,"1,002.3",987.0,940.2,932.1,978.2,955.7,921.4,948.9,971.3,"1,010.8",986.5,981.2
10.2-3,C,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",766.6,737.5,748.5,689.0,667.1,704.2,693.2,684.9,702.8,604.5,661.1,747.7,849.7,936.2,813.2,997.2,952.7,955.3,896.0,853.5,900.0,904.1,889.7,891.4,919.8,896.5,908.1,941.4,964.3,983.2,958.1,963.2
